"部門コード","部門名","商品コード","商品名","仕様・規格","単位","集計年月","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"DNK-E","電力機器事業部","E-00004269","NF32-SV 3P 30A AL(A)","","個","2022/08","26100","26100","17900","10.0000","10.0000","1","8200","31.4"
"DNK-E","電力機器事業部","E-00004269","NF32-SV 3P 30A AL(A)","","個","2022/09","10440","10440","7160","4.0000","4.0000","4","3280","31.4"
"DNK-E","電力機器事業部","E-00004269","NF32-SV 3P 30A AL(A)","","個","2023/04","3130","3130","2090","1.0000","1.0000","1","1040","33.2"
"DNK-E","電力機器事業部","E-00004285","NF32-SV 2P 10A AL-SLT(A)","","個","2022/07","2380","2380","1620","1.0000","1.0000","1","760","31.9"
"DNK-E","電力機器事業部","E-00004292","NF32-SV 2P 15A AL-SLT(U)","","個","2022/11","3700","3700","3160","2.0000","2.0000","1","540","14.6"
"DNK-E","電力機器事業部","E-00004305","NF32-SV 2P 3A AL-SLT(A)","","個","2022/05","4160","4160","3240","2.0000","2.0000","1","920","22.1"
"DNK-E","電力機器事業部","E-00004309","NF32-SV 2P 5A AL-SLT(A)","","個","2023/01","2860","2860","1940","1.0000","1.0000","1","920","32.2"
"DNK-E","電力機器事業部","E-00004525","NF63-SV 2P 10A AL-SLT(A)","","個","2022/05","12000","12000","9360","4.0000","4.0000","1","2640","22"
"DNK-E","電力機器事業部","E-00004526","NF63-SV 2P 10A AL-SLT(B)","","個","2022/08","6000","6000","5420","2.0000","2.0000","1","580","9.7"
"DNK-E","電力機器事業部","E-00004529","NF63-SV 2P 15A AL-SLT(A)","","個","2022/05","12000","12000","9360","4.0000","4.0000","1","2640","22"
"DNK-E","電力機器事業部","E-00004529","NF63-SV 2P 15A AL-SLT(A)","","個","2022/07","66000","66000","51480","22.0000","22.0000","1","14520","22"
"DNK-E","電力機器事業部","E-00004529","NF63-SV 2P 15A AL-SLT(A)","","個","2022/11","3000","3000","2340","1.0000","1.0000","1","660","22"
"DNK-E","電力機器事業部","E-00004529","NF63-SV 2P 15A AL-SLT(A)","","個","2023/01","12000","12000","9360","4.0000","4.0000","2","2640","22"
"DNK-E","電力機器事業部","E-00004534","NF63-SV 2P 20A AL-SLT(B)","","個","2022/08","12000","12000","10840","4.0000","4.0000","1","1160","9.7"
"DNK-E","電力機器事業部","E-00004536","NF63-SV 2P 20A AL-SLT(U)","","個","2022/05","2520","2520","2280","1.0000","1.0000","1","240","9.5"
